"varieties_present","galega","cobrancosa","arbequina","picual","cordovilTM","cordovilSE","madural","verdeal"
"3",0.601824716313588,0,0.46916158346576,0.602890100163323,0,0,0,0
"2",0.53944196559362,0,0,0.581843942662235,0,0,0,0
"2",0.585615418380278,0,0,0.628669415261085,0,0,0,0
"4",0.677711872342211,0.548466145641992,0.720803750880486,0.708071824320115,0,0,0,0
"3",0.508333858218713,0,0.647687160175753,0.652582812960471,0,0,0,0
"3",0.519219289083648,0,0.631576529137011,0.655591384179351,0,0,0,0
"1",0,0,0.495172685789754,0,0,0,0,0
"2",0.528913908218644,0,0.49330739177248,0,0,0,0,0
"1",0.575123969934874,0,0,0,0,0,0,0
"2",0.616793695942887,0,0,0.642978154539198,0,0,0,0
"2",0.545890791303279,0,0,0.628424082720631,0,0,0,0
"2",0.589691335877003,0,0,0.635887240167714,0,0,0,0
"2",0.680215754399958,0,0,0.676146479400369,0,0,0,0
"3",0.585788127315596,0,0.565259014422596,0.720615228109343,0,0,0,0
"2",0,0,0.566786799468099,0.525230828535414,0,0,0,0
"2",0.561592899237091,0,0.551606715806838,0,0,0,0,0
"3",0.55636911852797,0,0.617224344308408,0,0,0.526245901561813,0,0
"4",0.587763376670408,0,0.570467776931092,0.519758689657873,0,0.456598623219987,0,0
"3",0.640151885291177,0,0,0.554269103139864,0,0.459958048518346,0,0
"2",0.50993934742506,0,0,0.555204923063457,0,0,0,0
"2",0.540065199131331,0,0,0.646202780623976,0,0,0,0
"1",0,0,0,0.534359813611825,0,0,0,0
"3",0.635181441984281,0,0.510306805438787,0.654334281123095,0,0,0,0
"3",0.613881068528982,0,0.483959350356979,0.608472947884631,0,0,0,0
"1",0.531933084207317,0,0,0,0,0,0,0
"1",0.507050956993923,0,0,0,0,0,0,0
"4",0.58279569937326,0,0.66921827472471,0.677625382696186,0,0.594696621420601,0,0
"4",0.59183611835442,0,0.747546291583182,0.719634684307838,0,0.489101847229791,0,0
"4",0.679762151569363,0.544819771690662,0.587363114824334,0.6694145106253,0,0,0,0
"3",0.577170723029728,0,0.535388060605883,0.697480578885119,0,0,0,0
"1",0,0,0,0.592351076410386,0,0,0,0
"2",0.596560721489299,0,0,0.609758804803469,0,0,0,0
"3",0.598450502135918,0,0.467039679948519,0.690716985883476,0,0,0,0
"4",0.619223910954209,0.559534337710638,0.54242087977652,0.646516057747866,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"5",0.529632823869858,0.64158775457021,0.822065872593633,0.85171903782797,0,0.624648100257982,0,0
"4",0.561105733410088,0,0.780734517283363,0.784694879176667,0,0.503395946909034,0,0
"3",0.505810889105285,0,0.69090517847883,0.702770153759811,0,0,0,0
"3",0.646229120032522,0,0.627948260453436,0.711127114211492,0,0,0,0
"3",0.597246713056611,0,0.568210133599028,0.730634157619121,0,0,0,0
"2",0.587532045291149,0,0,0.569370911753965,0,0,0,0
"2",0.652393251439782,0,0,0.656740121338378,0,0,0,0
"2",0.64318570658737,0,0,0.56515612330953,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"5",0.654928876925238,0.745001572520869,0.866918546953101,0.869682155062219,0,0.530799355145027,0,0
"4",0.612290430497951,0.540123360427328,0.867552196543833,0.768339469895403,0,0,0,0
"4",0.625749000215961,0.576677524843411,0.814340591619867,0.648848647731808,0,0,0,0
"4",0.596278409402744,0.538494347147574,0.786450975444234,0.70417616227848,0,0,0,0
"2",0.649949187954059,0,0,0.588179857510357,0,0,0,0
"2",0.611796353124445,0,0,0.574921429260488,0,0,0,0
"1",0.587979461831151,0,0,0,0,0,0,0
"1",0.649939432083955,0,0,0,0,0,0,0
