"varieties_present","galega","cobrancosa","arbequina","picual","cordovilTM","cordovilSE","madural","verdeal"
"3",0.72402011594321,0.564565187199707,0,0,0,0.436002886147693,0,0
"2",0.560309564878171,0,0,0,0,0.480820245231457,0,0
"3",0.540986020118196,0,0,0,0.473876574560409,0.519736971164729,0,0
"3",0.583835026199459,0,0,0,0.482231273170912,0.512733930769049,0,0
"2",0.561190446062692,0,0,0,0,0.611196015579568,0,0
"2",0.556799405879589,0,0,0,0,0.485022848856174,0,0
"2",0.557285033846853,0,0,0,0,0.50064052480765,0,0
"2",0.555256466865351,0,0,0,0,0.490144032309649,0,0
"3",0.637640053758061,0.538281537090479,0,0,0,0.600576461366699,0,0
"3",0.707025448420466,0.535966240800276,0,0,0,0.519680103347023,0,0
"2",0.548792240539752,0,0,0,0,0.585317143623826,0,0
"3",0.556245811876811,0,0,0,0.466859496279434,0.490189161396579,0,0
"2",0.536467654134053,0,0,0,0,0.486730085415209,0,0
"2",0.559865498904387,0,0,0,0,0.503773089725481,0,0
"2",0.607659955657223,0,0,0,0,0.490701113743216,0,0
"2",0.564301458149256,0,0,0,0,0.534730421349512,0,0
"2",0.61138504809147,0,0,0,0,0.628746071466382,0,0
"3",0.646227112456352,0.550718185874532,0,0,0,0.504392888842895,0,0
"2",0.71242999203551,0,0,0,0,0.590794992478846,0,0
"0",0,0,0,0,0,0,0,0
"3",0.540478002104465,0.540406528449255,0,0,0,0.578756559727664,0,0
"2",0.566473302176957,0,0,0,0,0.60982897696278,0,0
"2",0.548189796556651,0,0,0,0,0.514763177333157,0,0
"2",0.574503382782534,0,0,0,0,0.562067688249489,0,0
"2",0.628213777010263,0,0,0,0,0.684446934395144,0,0
"3",0.673367166637205,0.550070349561925,0,0,0,0.616222347527049,0,0
"2",0.643388460267776,0,0,0,0,0.479361381231589,0,0
"3",0.755931616602272,0.576761991394032,0,0,0,0.557593922957527,0,0
"3",0.721751943965752,0.576323483888948,0,0,0,0.594764058785803,0,0
"0",0,0,0,0,0,0,0,0
"2",0.55413194416443,0,0,0,0,0.623813105185989,0,0
"2",0.556054838233467,0,0,0,0,0.66382425788232,0,0
"2",0.57158269918883,0,0,0,0,0.563808440321012,0,0
"2",0.600690384522167,0,0,0,0,0.694243978484322,0,0
"3",0.673731538164972,0.555246300470261,0,0,0,0.653035071141515,0,0
"3",0.69984145237459,0.558172566061223,0,0,0,0.672987816505571,0,0
"3",0.691483728811523,0.578260457293938,0,0,0,0.672137010601289,0,0
"3",0.764118445382039,0.589660300891129,0,0,0,0.57288525948797,0,0
